Страна регистрации,Доля участия на 31 декабря 2022 г. %,"Доля участия на 31 декабря 2021 г, %",
ООО кВТБ Инфраструктурный ХОЛДИНГЖ,Россия,"20,0","20,0"
Акционерное общество упрощенного типа,,,
единственным акционером кИнфрастракчер,,,
Инвестментс Сервисез Интернейшнл>,,,
(до переименования в 2022 году Акционерное,,,
общество упрощенного типа с единственным,,,
участНиком ВКСР>),Франция,"40,0",40.0
ООО <Русмостстройх,Россия,"10,.5",10.5
ООО кЭлектроугли Лэндж,Россия,"29,5","29,5"
Итого,"100,0","100,0",
