Активы форме права пользования,Обязательства по аренде,
2020 г,16 810,16 690
переоценка обязательств по аренде,(3 361),(3 361)
эртизации (Примечание 6,(8 529},
сход начисленный 'Примечание 8,928,
ченные,(928),
ежи (Примечание 23),(8 690),
2021,920,4 639
переоценка обязательств по аренде,23 941,23 941
эртизации (Примечание 6,(5 019),
сход начисленный Примечание 8,2 309,
ченные,(2 309),
ежи (Примечание 23),3 677),
2022 г,23 842,24 903
