Эффективная ставка процента,Валюта,Срок погашения,Балансовая стоимость,
пасса A1 пасса A2,"12,32% 11,71%",рубли рубли,10 мая 2030 г: 19 июня 2030 г:,6 112 126 4 464 340
10 576 466,,,,
