Группы основных средств,Сроки полезного использования (мес:
Машины и оборудование (кроме офисного),61-85
Офисное оборудование,25-241
Транспортные средства,37-181
Производственный и хозяйственный инвентарь,37-181
ект основных средств снимается c учета при выбытии и,ли когДа ожидается что его
льзование или выбытие не принесет будущих экономич,ескИх ВыгОД: Прибыли или
