"За год, закончившийся 31 декабря 2022 года","За год, закончившийся 31 декабря 2021 года",
Акции эмитентов других стран,"868,2","(15,7)"
Облигации иностранных компаний российских групп,"(114,5)","(49,8)"
Акции российских компаний,"(14,8)",
Прочие,"22,2","(16,1)"
"Итого чистая прибыль/ (убыток) по финансовым инструментам, оцениваемым по справедливой стоимости через прибыль или убыток","775,9","(96,4)"
