финансовой деятельности.,
1 января 2021 года,"985,5"
Движение денежных средств от финансовой деятельности,"(163,0)"
Модификация и переоценка,"52,6"
Новые договоры аренды,"14,2"
Приобретение при объединении бизнесов,"15,8"
Прочие изменения,"75,9"
31 декабря 2021 года,"981,0"
Движение денежных средств от финансовой деятельности,"(194,5)"
Модификация и переоценка,"(732,5)"
Новые договоры аренды,"15,7"
Прочие изменения,"39,8"
31 декабря 2022 года,"109,5"
,
