В таблице ниже представлен анал 21 navaбna 2022 гопа 21 пavaбna,ИЗ ПроизвОдн nn21 Ропа',lX финансовых,нструментов   Группы,ПО СОСТОЯНИЮ на
таблице ниже представлен анал 31 декабря 2022 года 31 декабря,ИЗ ПроизВОДн 021 года: Справедли номина согласова,ЫX финансовых ая стоимость ьной или нной суммы,нструментов руппы Активы положительная справелливая,ПО СОСТОЯНИЮ на Обязательства отрицательная справелливая
Требования,Обязательства,стоимостЬ,стоимОстЬ,
31 декабря 2022 года,,,,
Производные финансовые инструменты,"77 594,0","(79 153,2)","22,4","581,6)"
31 декабря 2021 года,,,,
Производные финансовые инструменты,"34 290,4","(33 748,8)","542,3","(0,7)"
