(в mысячах_ poccuucкux рублей),31 декабря 2022 года,31 декабря 2021 года
Облигации в долларах США (335 млн. долларов США),20 715 471,22 720 609
Эффект от дисконтирования,(2 012 244),(2 715 862)
18 703 227,20 004 747,
Облигации в долларах США (150 млн: долларов США),9 214 368,10 104 764
Эффект от дисконтирования,(562 940),(864 072)
8 651 428,240 692,
