(8 mысячах poccuiскux рублей),2022 год,2022 ГОД,2021 год
(Убыток) / прибыль до налогообложения,(10 067 585),10 067 585),2 827 407
"Теоретический налог , начисленный по установленному курсу",2 013 517,2 013 517,(565 481)
(пеоuлагаемые доходы) расходы; не уменьшающие налогооблагаемую базу,(43),(43),39
Налог на прибыль за период,2 013 474,2 013 474,(565 442)
Различия между МСФО И налоговым законодательством,Российской,ссийской   Федер,)ации приводят
возникновению временных разниц между балансовой стоимос,остЬю активов,Ю активов и обя,ззательств в целях
