30 июня 2022,31 декабря 2021,"ИЗМ. OTH 31 дек. 2021, %",30 июня 2021,"ИЗМ Г-К-Г, % или мультипликатор",
кПятерочках,7 271 291,7 048 488,"3,2",6 782 960,"7,2"
кПерекрестоку,1 109 171,1 098 905,"0,9",1 058 533,"4,8"
кКарусельх,100 931,128 063,"(21,2)",160 923,"(37,3)"
<Чижикх,44 129,20 327,"117,1",4 008,11x
X5 Group7,8 639 691,8 409 757,"2,7",8 065 772,
