МЛН РУБ,30 июня 2022,31 декабря 2021,30 июня 2021
Запасы,175 204,166 840,142 024
Торговая; прочая дебиторская задолженность и авансовые платежи,12 921,20 190,16 801
Торговая кредиторская задолженность,187 672,212 949,160 836
Резервы и прочие обязательства,97 827,104 673,87 3З0
Сvмма чистых пронентных рясхолов И налога на прибыль по,спользованн,инвестиционной пеатепь,ности
"'1 МСФО (IFRS) 16 во 2 кв: 2022 г  выросла на 4,6% Г-к-г",преимуществе,1j н нно направленных на приобр,етение основных
