IFRS 16,До пр,именения IFRS,16,,,
МЛН РУБ:,2 KB: 2022,2 KB: 2021,ИЗМ: Г-К-Г,2 KB: 2022,2 KB: 2021,ИЗМ: Г-K-I
Операционная прибыль,51 578,33 303,"54,9",41 519,25 371,"63,6"
Чистые финансовые расходы,(18 253),(14 151),"29,0",5 972),195),"42,4"
Чистый результат от курсовой разницы,6 231,897,Zx,2 352,390,
Прибыль до налога на прибыль,39 556,20 049,"97,3",37 899,21 566,"75,"
Затраты по налогу на прибыль,794) (12,129),"149,4",457) (12,433),"129,3"
Чистая прибыль,26 762,14 920,"79,4",25 442,16 133,57
"Рентабельность чистой прибыли, %","4,1","2,7",140 б.п.,"3,9","3,0",97 б.п
