IFRS 16,До пр,именения IFRS,16,,,
МЛН РУБ:,2 KB: 2022,2 KB: 2021,ИЗМ: Г-К-Г,2 KB: 2022,2 KB: 2021,ИЗМ Г-К-Г
Расходы на персонал,(50 210),(44 499),"12,8",(50 210),(44 499),"12,8"
% от выручки,"7,7","8,1",(39) б.п.,"7,7","8,1",(39) б.п-
включая начисление затрат по программе долгосрочного премирования и выплат на основе акций (LTI),(685),184),"(42,1)",(685),184),"(42,1)"
Расходы на персонал без учета LTI; %,"7,6","7,9",(28) б.п.,"7,6","7,9",(28) б.п-
Расходы на аренду,(4 859),(3 505),"38,6",(29 054),(26 182),"11,0"
% от выручки,"0,","0,6",11 б п.,"4,5","4,8",(31) б.п
Коммунальные расходы,(11 122),(10 213),"8,9",(11 122),(10 213),"8,9"
% от выручки,"1,7","1,9",(15) б.п:,"1,7","1,9",(15) б.п
Прочие расходы на магазины,5 784),(5 642),"2,5",(6 001),(5 860),"2,4"
% от выручки,"0,9","1,0",(14) б.п:,"0,9","1,1",(15) б.п
Расходы на услуги третьих сторон,425),(4 775),"(28,3)",3 329),(4 640),"(28,3)"
% от выручки,"0,5","0,9",(35) б.п.,"0,5","0,8",(34) б.п
Прочие расходы,274),6 414),"13,4",(9 113),559),"20,6"
% от выручки,"1,1","1,2",(5) б.п.,"1,4","1,4",2 б.п
Итого (за вычетом расходов на амортизацию и обесценение и эффекта трансформации кКаруселих),(82 674),(75 048),"10,2",(108 829),(98 953),"10,0"
% от выручки,"12,8","13,7",(97) б.п.,"16,8","18,1",(131) б.п
Итого (за вычетом расходов на амортизацию; обесценение; LTI; выплат на основе акций и эффекта трансформации <Каруселих),(81 989),(73 864),"11,0",(108 144),(97 769),"10,6"
% от выручки,"12,7","13,5",(86) б.п.,"16,","17,9",(120) б.п
