До месяца,От месяца до 1 года,От 1 годя до 5 лет,Свыше 5 лет,Итого
Долгосрочный блигационный заем,5 307 794,25 873 210,242 950 713,274 131 717
Итого,5 307 794,25 873 210,242 950 713,274 131 717
