Ha 31 декабря 2622,Ha З 1декабря 2021,
Денежные средства,783 705,3 934 615
Дебиторская задолженность Оператора по полученной авансом выручке,,
от эксплуатации автомобильной дороги,436 094,267 921
[Прочая дебиторская задолженность,13 195,9 848
Депозиты в банках,20 531 128,
"Ценные бумаги, оцениваемые по амортизированной стоимости",343 494,312 562
Итого,26 107 616,4 524 946
