Ha 31 декабря 2022 г.,Ha 31 декабря 2022 г.,Ia 31 декабря 2021 r:,
Трсбования по получению процентов на остаток на расчетном счете,10 970 ,10 970 ,8 128
Дебиторская задолженность по сдачс имущества в аренду,395,395,18
Расчеты по претензиям,399,399,
Прочая дебиторская задолженность,431,431,539
Итого прочая дебиторская задолженность:,13 195,13 195,848
Справедливая СТОИМОсТЬ прочей   дебиторской  задолженности руководства Группы совпадает её балансовой стоимостью,1a конец 2022 года и,конец  2022 года,)21 гоДа по мнению
