Вид денежных средств,Ha 31.12.2022 г,Ha 31.12.2021 г
Остаток денежных средств на расчетных счетах в кредитных организациях,4 727 368,3 889 743
Ленежные средства v Оператора,56 337,44 872
Итого денежные средства,783 705,3 934 615
В таблице ниже приводится анализ кредитного качества остатков на пейтинтя присвоенного neйтинговыми агентствами Экслерт PА и,банковских счетах С исп КРА,ользованием
