финансового инструмента Вид,Метод оценки,Существенные ненаблюдаемые данные
Займы выданные,Дисконтированные денежные пОтОки,Ставка дисконтирования кредитный риск
Кредиты и займы,дисконтированные денежные потоки,Ставка дисконтирования
