31 декабря 2022,Контрактные ден,ежные потоки,,
Балансовая стоимость,Итого,до 1 года,от1 до 5 лет,Свыше 5 лет
Кредиты и займы; начисленные проценты Торговая и прочая,15 336 087 171,19 731 751 457,1186 651 457,18 545 100 0ОО
1 | 1иt кредиторская задолженность,164 291 834,164 291 834,164 291 834,
краткосрочные обазатольстра Пm 2nn,2 078 415,2116 298,700 453,1415 844
1l,15 502 457 420,19 898 159 589,1351 643 744,18 546 515 844
