Ha 31 дека,бря 2022 года,Ha 31 дека,бря 2021 года,Ha 31 декабр,2020 года,
Балансовая стоимость,Справедливая стоимость Уровень,Балансовая стоимость,Справедливая стоимость Уровень,Балансовая стоимость,Справедливая стоимость Уровень,
ЦИИ € фиксированной ставкой,292 264,233 662,339 840,344 671,315 966,3З3 388
292 264,233 662,339 840,344 671,315 966,333 388,
Балансовая стоимпсть,Справедливая стоимость Уnовень,Балансовая стоимос,Справедливая стоимость Vnовень,Балансовая стоимостт,Справедливая стоимость Уnовень,
ы c плаваюшей ставкой,475 869,459 638,419 537,404 044,395 118,392 789
Ы € фиксированной ставкой,313,297,625,530,,
ЦИИ € фиксированной ставкой,39 560,39 586,,,,
515 429,499 224,419 850,404 341,395 743,393 319,
Балансовая стоимость,Справедливая стоимость Уровень 2,Балансовая стоимость,Справедливая стоимость Уровень 2,Балансовая стоимость,Справедливая стоимость Уровень 2,
иторская задолженность,3 995,3 939,4 062,4 086,2 403,2 381
3 995,3 939,062,086,2 403,2 381,
