"различные договоры Ha продажу, покупку оказа] являЮщИмися связанными сторонами; были ИСКЛ взаиморасчетам co связанными сторонами включаю","чие услуг co СВЯ ючены при КОН гсЯ в раскрытие,","занными сторонан солидации не 1ачиная с даты, KО",IИ. операции меx раскрываются гда контрагент ст,кду компаниеи данном примеч ал связанной сто,ee дочерними ании Операции роной:,рганизациями остатки ПС
информация оо операциях между 1 руппои и прочим,IИ связанными Организации; контролируют,оронами представ торыми владеют основные акционер,1ена НИЖс IИ которые Группы,Ассоциированн организаци,ые организации; соr и и совместная onер,вместные ация
"За год, 3а",ончившийся 31 дек,абря,За год; зак,ончившийся 31 дек,абря,
2022,2021,2020,2022,2021,2020,
Операции co связанными сторонами,,,,,,
Кредиты и займы полученные,61 986,,,,,
Кредиты и займы погашенные,53 874,,,,,
Приобретение активов и услуг и прочие операционные расходы,977,624,6 625,2 494,4 874,8 666
"операционные расходы Доход, связанный c переоценкой по справедливой",7 9/ /,624,6 625,2 494,4 8/4,8 6bb
стоимости по договорам валютно-процентного свопа,2 808,,,,,
Процентные расходы начисленные,703,,,,,
Проценты уплаченные,692,,,,,
Процентные доходы начисленные,306,,,,,
Проценты полученные,304,,,,,
Реализация товаров и услуг и прочие доходы,64,849,,,,
