"з тысячах рублях, если",в тексте не указано,ноe,,,
Земельные участки и объекты природо- пользования,Здания сооружения,"Установки , машины и оборудование",Прочее,Всего,
Первоначальная cmouмоcmь,,,,,
Ha января 2021 года,175 231,113 321,7 978,120,297 650
Поступления,Q0o,1 € F 1г?,1оF,175 227,
Выбытие,07 7,10J 1Jэ 1 4 nn -го,10J,17J 2J/ 14 = 0,
Ha 31 декабря 2021 года,12> UJ 1 ) 1ЕF n70,TUU 137),71 0 ),'oz+)| 29 1,'эо +12) 2 ?
Aмоpmuзацuя,,,,,
Ha января 2021 года,(15 910),(35 701),978),120),(60 709)
Начислено,(38 042),(22 189,'503),(60 734),
Выбытие,5 681,31 770,7 978,890,46 319
Ha 31 декабря 2021 года,(48 271,(26 120),(733),(75 124),
Чucmaя балансовая cmouMocmь,,,,,
Ha января 2021 года,159 321,77 620,236 941,,
Ha 31 декабря 2021 года,106 808,151 595,948,259 351,
Iримечание 17 .,орговая и прочая кр,едиторская за,олженность,,
