Ha 31,декабря 2022,,,,
Итого,Иенее 40 дней,40 100 дней,100 130 дней,Более 130 дней,
Валовая балансовая,2 226 604,455 576,645 568,60 577,64 883
стоимость Процент ожидаемых крелитных vбытков,"6,16%","3,76%","6,07%","27,10%","41,56%"
Ожидаемые кредитные убытки,(137 238),(54 682),(39 180),(16 414),(26 962)
Hа,декабря 202 ,,,,
Итого,Менее 40 дней,40 100 дней,100 130 дней,Более 130 дней,
Валовая балансовая,3 334 707,2 179 967,966 844,90 724,97 172
C |vимос |D Процент ожидаемых чno питныу vhытков,"3,71%","2,26%","3,66%","16,33%","25,04%"
прсн /мыХ усы Ожидаемые кредитные Vhыт,(123 850),(49 348),(35 358),(14 812),(24 332)
