СТОИМОС,"""ОИМОСТЬ",nuppen Hvына,СТОИМОСТЬ,стоимОш
Денежные средства и их эквиваленты,3 842,3 842,,
Запасы,,,,
Топговая и прочая лебитопская,,,,
залолженность,092,092,,
Авансы выданные и расходы будvщих,,,,
периодов,90 01 >,90 07 >,,
Основные средства,3 496,3 496,,
Торговая и прочая кредиторская задолженность,(196),(196),,
Долгосрочные кредиты и займы,(12,126 036),126 036),
Итого чистые активы:,(80 099),(80 099),,
Цена покупки ООО < АДКМ ,9 990,,,
Гудвил,70 109,,,
