состоянию на 31 декабря 2021,,,,,
Наименование показателя,До 3 месяцев,От 3 месяцев до 1 года,От 1 года до 3 лет,Итого,
Обязательства по аренде,12 145,33 041,24 101,69 287,
Кредиторская задолженность,838 691,838,38 691,,
Итого обязательства,850 836,33 041,24 101,907,07 978
