"Реu Jнро J1емн+ государством или находящимися под значительным влиянием государства, котор",РомРуч торые являлись существенными
точки зрения Оалансовои стоимости NU сUCтоянию Hа 3 1 декаоря <Uz11. Наименование показателя,Ha 31 декабря 2021
паименованиепоказаеля,eUz 1
Активы,
Денежные средства на расчетных счетах,2 955 821
Средства в кредитных организациях и банках-нерезидентах,
Дебиторская задолженность клиентов,43 140
