2022 г_,2021
Ливиленлы к выппате на начапо отчетного периола,300 005
Дивиденды объявленные в течение отчетного периода,899 225
Дивиденды; выплаченные в течение отчетного периода,2 199 230)
Дивиденды; выплаченные в течение отчетного периода,(2 199 230)
Дивиденды к выплате на конец отчетного периода,
"Дивиденды на акцию, объявленные в течение отчетного периода",1 835
