В таблице ниже приводятся законодательно установленные нормативы применительно к Компании на 31 декабря:,остаточности собст,венных средств
2022 г:,2021 г,
Законолатепьно пгтяновпоннын нопмативы MI( нагте соhгтвенных сneпств,,
"Законодательно, установленные нормативы достаточности собственных средств",80 0ОО,80 0ОО
Размер собственных средств Компании,5 278 450,1 990 499
