2022,2021,,,,,
Валовая балансовая стоимость,Резерв под ОКУ,Чистая балансовая стоимость,Валовая балансовая стоимость,Резерв под ОКУ,Чистая балансовая стоимость,
Остаток на 1 января Поступление финансовых,,,,,,
По которым ожидаются в течение 12 месяцев Прекращение признания финансовых активов кредитные убытки по,24 730 422,751),24 724 671,3 438 820,729),3 437 091
которым ожидаются в течение 12 месяцев,(19 183 529),4 613,(19 178 916),438 820),1 729,437 091)
Остаток на 31 декабря,5 546 893,(1 138),5 545 755,,,
