,,
Балансовая ст,оимость,
Наименование показателя,31 декабря 2022 г:,31 декабря 2021
~hnnn4о 17 ' 11m,522 257,
7KIИВЫ в фФорс права полвэчвапия Обязательства по аренде,JJz <J 505 870,ovo 68 945
,,
