Ha 31 декабря,,
2022,2021,2020
10 564,14 373,16 096
8 759,14 952,13 458
19 323,29 325,29 554
аны в отношении,анных балансов,"В СВЯЗИ тем,"
налоговых прибыл,ей будет достаточ,IHО для зачета
