"За год, зак",нчившийся 31 дек,абря
2022,2021,2020
6 836,5 954,5 315
3 537,3 524,3 159
2 263,1 750,1 364
2 263,1 750,1 364
300,2 816,2 293
16 936,14 044,12 131
