Ha 31 декабря,,,
2022,2021,2020,
,,,
18 721,18 508,3 058,
ШA,41 560,125 603,276 561
14 695,1 024,4 746,
эте,4 896,3 072,4 143
5 213,178 450,2 900,
ШA,41 077,84 099,91 384
3 979,350,113,
этe,453,,
202,482,,
ШA,1 977,493,
эте,37,13,154
132 357,412 094,383 512,
овским,депозитам,долларах США,составляли
