Организации; ко контролируют,торыми владеют сновные акционе Ha 31 декабря,Ши которые ы Группы,Ассоциированны организаци,ыle организации; co 4 и совместная опе Ia 31 декабря,вместные рация,
2022,2021,2020,2022,2021,2020,
Остатки по взаиморасчетам co связанными,,,,,,
Кредиты и займы,15 826,,,,,
Кредиторская задолженность и обязательства по аренде,1 804,966,1 408,30,362,1 084
Производные финансовые инструменты обязательства ,1 491,,,,,
Дебиторская задолженность,19,41,17,72,736,540
