Изменение пока,зателя,,,
цливой ства по щиона,Снижение ставки дисконтирования на 1 ПI,Ослабление курса доллару на 10% рубля,Рост цен на медь 10%,Рост цен на золото 10%
года,1 972,5 310,2 731,2 807
