Остаток задс,лженности на 31 дэ,екабря,
'НТЫ,2022,2021,2020
35 848,114 987,185 543,
25 719,67 046,59 118,
18 116,42 522,52 603,
14 337,40 192,12 527,
6 174,30 116,11 802,
32 163,117 231,61 919,
132 357,412 094,383 512,
11 488,11 043,962,
242,808,2 381,
9?1,,,
666,363,,
2 398,956,1 558,
28 422,18 131,24 284,
59 533,34 721,39 687,
дитный риск; отно,сящийся к денежнь,[M средствам и их,эквивалентам
ской задолженно,'ТИ находится Hа,приемлемом YDO,вне СВЯЗИ
