Ha 31 декабря,,
2022,2021,2020
138 342,56 987,40 397
131 570,116 778,85 656
(5 678),5 761),6 228)
264 234,168 004,119 825
264 234,168 004,119 825
88 381,61 113,47 603
741),292),5 445)
83 640,56 821,42 158
347 874 сумме 11 497 млн,"224 825 руб:, за вычетом",161 983 бесценения
