2022,2021,,,,,
Валовая балансовая стоимость,Резерв под ОКУ,Чистая балансовая стоимость,Валовая балансовая стоимость,Резерв под ОКУ,Чистая балансовая стоимость,
Остаток на 1 января Поступление финансовых,1 518 478,(3 311),1 515 167,1 443 358,(3 514),1 439 844
активов; кредитные убытки по которым ожидаются в течение 12 месяцев 1m_ 1a [ 11-1~,8 335 118,(4 340),8 330 778,15 106 990,(3 748),15 103 242
течение 12 месяцев кpeдumные убыmкu по коmорым ожuдаюmcя 8,8 335 118,340),8 330 778,15 106 990,(3 748),15 103 242
кpeчumные убыmкu по коmорым ожuдаюmся 8 mеченuе eсеео срока жuзнU,392 654,(156 794),235 860,,,
кpeдumно-обесцененные акmuвы Прекрашение признания,,,,,,
финансовых активов кредитные убытки по которым ожидаются в течение 12 месяцев,897 883),4 586,893 297),(15 031 870),3 951,(15 027 919)
Остаток на 31 декабря,2 348 370,(159 862),2 188 508,1 518 478,(3 311),1 515 167
