"Обязательства, по которым выдано обеспечение",Вид обеспечения,Срок действия обеспечения,Оценочная стоимость
Выпуск облигаций А1 4-01-36473-R,Залог прав по Концессионному соглашению; Залог прав по банковскому счету поступления финансирования третьих лиц; Залог прав по банковскому счету поступлений Концедента,апреля 2016 г 10 мая 2030 г.,45 771 417
Выпуск облигаций А2 4-02-36473-R,Залог прав по Концессионному соглашению; Залог прав по банковскому счету поступления финансирования третьих лиц; Залог прав по банковскому счету поступлений Концедента,1 апреля 2016 г: 19 июня 2030 г:,45 771 417
Кредитное соглашение с ПАО кБанк ВТБ> Ng 3608 от 21 ноября 2014 г.,Залог прав по банковскому счету поступлений Концедента; Залог прав по банковскому счету поступлений споНсОрсКОЙ поддержки; Залог прав по банковскому счету поступления заемных средств; Залог прав по банковскому счету прочих поступлений; Залог прав по Концессионному Соглашению,31 марта 2028 г:,45 771 417
Договор б/н от 24 декабря 2015 г: Субординированный кредит,Залог прав по Концессионному соглашению; Залог прав по банковскому счету поступлений Концедента,ноября 204,45 771 417
Договор б/н от 23 декабря 2015 г: Субординированный заем,Залог прав по Концессионному соглашению; Залог прав по банковскому счету поступлений Концолонта,uоaбnа,
Обязательства по Концессионному соглашению,Банковская гарантия ОАО ФБанк ВТБж Ng IGRIBIMSHDO656 от 30 июня 2018 г: (исполнение обязательств по Концессионному соглашению),31 декабря 2022,307 00О
Соглашение 0 выдаче банковской гарантии ОAО кБанк ВТБж Ng IGR14/MSHD829O2 от 31 октября 2014 г. (исполнение обязательств по КонцессионномV,Переуступка банковской гарантии (исполнение обязательств по Концессионному соглашению) AO АКБ кЯпи Креди Банк Москвах Ng 62810003884,,
соглашению) Обязательства по Концессионному соглашению,Соглашение выдаче банковской гарантии ПАО кБанк ВТБ  Ng IGRZI/MSHD/687O от 26 ноября 2021 г (исполнение обязательств,7 декабря 2021 г_,5 112 783
Эксплуатационной стадии),27 ноября 2023 г,545 538,
