"закончившийся 31 декабря 2022 Год,",Производство и реализация игристых вин,Прочие сегменты,Управляющая компания,Итого по сегментам
,,,,
Выручка,24 115 239,864 375,293 658,26 273 272
выручка от операции между сегментами Выручка Группы консолидированном отчете прибылях или мбытках nnnцak,(11 883 962),(324 103),(253 988),(12 462 053)
консолидированном отчете прибылях или убытках и прочем совокупном доходе,12 231 277 1| 2901,540 272 402,39 670 nno,13 811 219
Амортизация,(5/9 Z30 ),(94 482),(6 998),(640 710)
Амортизация HMA,385),519),(2 296),(5 200)
"чроцсп пыс раскоды Процентные доходы Доля прибыли после налогообложения ассоциированных компаний , учтенных по",12 852,354,2] 13 206,
"компаний, учтенных ПО методу долевого участия Налог на прибыль",(511 621),864),(29 193),(548 678)
Налог на прибыль Прибыль 7(убыток) сегмента,(511 621) 1 628 027,864) 74 220,(29 193 ) 69 937,(548 678) 1 772 184
Прибыль (убыток) сегмента,628 027,74 220,69 937,1 772 184
"закончившийся 31 декабря 2021 Год,",7t ~н реализация игристых вин,Прочие сегменты,Управляющая компания,Итого по сегментам
Выручка,19 059 870,551 092,226 304,20 837 266
Выручка от операций между сегментами,8 895 587,(124 660),(203 036,9 223 283)
"между сегментами Выручка ""руппы в консолидированном отчете прибылях или убытках и прочем совокупном доходе",079 J07 | 10 164 283,1z4 OOU | 426 432,zUз UJO | 23 268,zu3 zo3 ) 11 613 983
Амортизация,(676 259),(55 539),410),(739 209)
Амортизация HMA,824),101),2 534),5 459)
Процентные расходы,(459 322,(16 856),42 313),(518 491)
"Процентные доходы Доля прибыли после налогообложения ассоциированных компаний, учтенных по методу долевого",22 524,4 007,26 531,
Налог на прибыль,405 057,49 527),71 758,(382 826)
NHMUDIло / (УUВП Uок) сегмента,1 747 611,(212 074),185 173),350 364
